,AC_POWER
38355,0.0
53556,152.91999999999996
7470,939.5866666666669
11964,0.0
50520,0.0
53643,146.30666666666667
65095,22.56666666666667
5158,1017.7
50053,614.1400000000001
7592,992.2333333333331
15694,0.0
1174,1193.7066666666667
18408,183.8333333333333
41325,0.0
4782,35.02
719,575.0666666666667
15367,0.0
9739,710.4066666666668
36051,0.0
34955,1236.4000000000003
62611,1054.1066666666668
54441,89.94666666666667
37924,0.0
60726,245.86428571428573
48330,0.0
34168,0.0
25616,0.0
38757,151.3357142857143
28387,306.78000000000003
22855,200.82666666666668
17334,0.0
46629,0.0
58327,996.8066666666664
1956,0.0
22299,0.0
20211,0.0
26077,0.0
3785,0.0
28281,146.16666666666666
44028,0.0
37142,0.0
41141,0.0
66061,0.0
47326,769.2142857142856
16535,777.6066666666666
47204,225.44666666666663
64095,150.1533333333333
4933,598.6214285714285
1029,1205.2266666666667
50362,0.0
3065,0.0
53273,0.0
58506,673.14
56426,521.4866666666667
29395,0.0
60531,479.87333333333333
29882,0.0
17662,258.3466666666667
15922,213.34666666666664
56379,475.87333333333333
40286,0.0
46018,231.13571428571427
55059,0.0
61728,0.0
25185,825.7800000000002
42950,148.54999999999998
26182,0.0
48250,0.0
25648,0.0
49462,739.4714285714286
62796,383.92
207,0.0
55033,0.0
58732,121.96666666666668
29207,64.02666666666667
56812,0.0
1854,0.0
35548,81.69333333333331
22955,0.0
1602,23.61333333333333
60133,0.0
53948,726.2071428571429
40692,0.0
47971,856.18
50712,0.0
56544,259.39333333333326
28066,0.0
32546,225.82666666666668
16988,0.0
64511,0.0
22066,0.0
28536,681.9533333333333
43040,142.9333333333333
53738,460.2600000000001
32855,472.5199999999999
32151,0.0
15365,0.0
8534,0.0
23377,833.8866666666668
28462,574.1400000000001
46720,0.0
45303,0.0
6265,0.0
58733,101.27142857142856
9614,0.0
62191,0.0
6076,0.0
53486,20.35333333333333
10854,672.9533333333333
26529,778.5933333333332
14314,811.0285714285714
22486,0.0
31677,0.0
48011,536.2733333333333
54727,0.0
9236,545.1533333333333
10951,0.0
8829,0.0
49656,1228.2714285714287
44838,0.0
7883,82.56666666666666
7914,50.89333333333333
46483,0.0
4355,0.0
58511,715.7533333333333
41542,379.9642857142858
60843,98.48
41231,1222.15
15554,0.0
51832,0.0
9274,366.25714285714287
21535,1122.006666666667
64971,129.65333333333334
54457,74.00666666666666
49610,0.0
5909,0.0
18517,0.0
32517,247.59333333333333
35409,497.38000000000005
36318,0.0
53701,357.95714285714286
64810,536.6642857142857
46231,0.0
62635,506.3466666666668
55691,198.9
65687,0.0
21098,139.6642857142857
6746,0.0
28949,966.8666666666666
62791,302.8533333333333
63348,0.0
22468,0.0
33795,0.0
57603,0.0
47662,0.0
15009,0.0
61465,0.0
35426,494.54
2094,0.0
52794,0.0
51829,0.0
66411,162.24
43836,513.98
7549,0.0
45800,579.5466666666665
14202,194.80666666666667
14687,1166.253333333333
38226,0.0
20620,0.0
39894,0.0
9575,0.0
35222,0.0
33041,42.4
56770,0.0
37883,0.0
56597,100.77333333333333
14570,1235.0533333333333
62172,746.6533333333333
1779,0.0
48212,34.413333333333334
2953,628.5500000000002
236,0.0
57146,0.0
30123,0.0
65985,0.0
58628,445.52
61163,0.0
13198,281.36428571428564
25131,980.7799999999999
66022,0.0
10191,0.0
6404,0.0
45067,77.22666666666667
41598,552.82
33605,0.0
9909,20.94
55426,0.0
33973,0.0
42012,0.0
67201,30.25333333333333
10163,0.0
54154,504.42
26589,0.0
2234,0.0
48038,513.6933333333333
35542,80.76
35118,1229.9
10462,0.0
24594,369.70714285714286
49171,0.0
31809,0.0
66245,75.05
27206,0.0
13211,278.6066666666667
49060,0.0
394,0.0
33769,0.0
5509,610.5533333333334
24516,35.77333333333334
38794,251.78000000000003
2174,0.0
41170,1273.2133333333334
33017,105.91333333333334
595,145.60666666666668
39771,22.326666666666664
49377,544.2571428571428
24222,0.0
57298,0.0
10865,657.7928571428571
63995,0.0
29243,14.413333333333334
43384,0.0
53622,101.88666666666668
14213,263.6733333333334
44340,0.0
22611,0.0
13241,120.52666666666666
58111,529.3533333333334
9876,83.45714285714284
43299,0.0
54243,367.9333333333333
28303,217.06666666666663
13655,0.0
60515,159.60666666666663
57371,0.0
16913,0.0
15491,0.0
38000,0.0
52745,0.0
32829,654.5466666666665
7441,0.0
52161,299.2666666666667
26428,968.4642857142856
9632,1173.5214285714285
1832,0.0
32642,885.0266666666665
38361,0.0
10993,0.0
31332,25.435714285714287
59476,0.0
31221,137.48666666666665
49490,891.6333333333333
60753,277.1
52184,238.90666666666664
2661,44.19333333333333
22022,0.0
25784,0.0
9398,1133.2133333333334
61018,0.0
3942,0.0
53319,0.0
56638,87.75333333333334
21808,467.4666666666666
3953,0.0
46350,0.0
17775,722.9799999999999
32873,364.02
44478,0.0
55797,175.26428571428573
17042,0.0
67530,0.0
44144,0.0
2478,0.0
11656,0.0
48182,155.7133333333333
2433,0.0
64513,819.66
57122,0.0
57431,0.0
19703,1151.8266666666666
14182,169.06
154,0.0
27902,0.0
37486,251.51428571428568
2037,0.0
54319,429.88000000000005
49948,829.0785714285713
64195,355.3
28487,835.6733333333332
28712,924.3999999999999
14271,549.1266666666667
33564,0.0
33591,0.0
35683,0.0
7128,670.9266666666665
11076,1278.5866666666666
29391,0.0
45356,1065.4199999999998
24958,0.0
65011,49.84000000000001
57140,0.0
3030,0.0
173,0.0
55495,0.0
24903,1222.12
19791,1213.7733333333335
38996,708.38
58311,0.0
57544,0.0
34263,0.0
25169,815.2533333333331
46005,302.68666666666667
67219,17.759999999999998
50381,0.0
24221,0.0
30110,0.0
27215,0.0
46057,94.70666666666669
32414,68.97333333333333
67674,0.0
37442,482.8933333333334
66640,712.64
12252,0.0
51333,9.839999999999998
48455,0.0
46276,0.0
3995,0.0
7352,1160.993333333333
52917,0.0
31210,141.65999999999997
532,14.633333333333338
19070,0.0
62128,695.1714285714285
14321,770.0466666666667
64573,546.4785714285715
4149,0.0
23290,1226.4066666666668
32119,0.0
10109,0.0
19586,984.74
18066,0.0
47430,765.1333333333333
64770,0.0
63684,0.0
18842,0.0
4344,0.0
3705,0.0
16295,1075.7533333333336
14142,51.29285714285714
42573,0.0
55692,200.68
7305,0.0
29259,13.54
53514,33.60666666666667
29695,0.0
49700,869.7866666666665
17640,143.00666666666663
12717,837.5000000000001
37734,0.0
29529,0.0
41813,175.3
41278,0.0
42413,0.0
27920,0.0
53484,13.313333333333333
50178,353.67142857142863
34777,595.1600000000001
2320,0.0
63606,0.0
435,0.0
42977,129.48666666666665
28863,1038.5333333333333
17912,0.0
66265,99.8857142857143
2160,0.0
29288,0.0
50201,283.6357142857143
27311,0.0
33097,65.93333333333334
48287,0.0
5708,141.96
46236,0.0
28983,776.3214285714284
7849,188.53333333333333
67191,59.453333333333326
65319,0.0
65129,0.0
67369,0.0
63629,0.0
29575,0.0
17650,197.1733333333333
41002,714.0866666666667
41138,1089.4214285714286
56180,199.42
11114,0.0
40876,150.07142857142858
9302,298.7933333333333
26279,127.24666666666668
45694,0.0
46061,75.85333333333334
3630,15.493333333333332
29162,220.4533333333333
17820,858.6933333333334
3897,0.0
61971,124.25
18499,0.0
46450,0.0
1587,22.326666666666668
21822,218.85333333333327
29101,460.98666666666657
4715,0.0
417,0.0
20003,704.18
66167,53.06666666666668
27564,0.0
9461,1293.013333333333
45847,128.80714285714285
47974,844.38
27364,0.0
32578,309.8666666666667
55597,18.671428571428567
55887,376.0928571428571
35603,0.0
1575,38.88
29904,0.0
54032,453.58
28160,5.719999999999999
14462,1174.2733333333333
45758,1031.8
63884,0.0
29356,0.0
5602,410.9666666666666
2831,637.0142857142857
9638,912.4066666666665
52608,0.0
23308,1195.4357142857143
25657,0.0
18443,71.82666666666667
18616,0.0
21514,1273.5799999999997
8179,0.0
62439,791.9399999999998
52029,680.6066666666667
7165,827.1
13467,0.0
11601,0.0
38105,0.0
31712,0.0
14784,865.0571428571427
51279,0.0
66862,501.1133333333333
16994,0.0
28083,0.0
3809,0.0
47365,489.50666666666666
60378,1162.9466666666665
6300,0.0
59716,0.0
27169,0.0
46760,0.0
11532,0.0
12448,131.5
50825,0.0
1720,0.0
14985,42.900000000000006
63098,0.0
18235,844.6733333333334
41655,321.3666666666666
53797,380.23333333333335
62940,125.2
49332,378.00666666666666
3427,608.82
40143,0.0
23000,881.6266666666666
4761,23.2
35675,0.0
19020,0.0
35850,0.0
39789,0.0
11783,0.0
47249,304.43333333333334
24042,0.0
16011,615.3928571428572
29121,308.4733333333333
31324,50.386666666666656
24736,982.86
17455,0.0
60021,429.9666666666666
3324,744.4933333333332
16571,626.7785714285715
27617,0.0
28361,294.38666666666666
49514,927.6666666666669
13261,57.50666666666668
23132,0.0
374,0.0
40495,0.0
53668,228.92
65886,0.0
33957,0.0
25662,0.0
41324,1341.7133333333334
33744,0.0
36095,0.0
2074,0.0
1185,1209.4199999999998
20446,0.0
56773,0.0
36408,0.0
57586,0.0
47497,0.0
26188,0.0
9628,1198.0400000000002
6387,0.0
7099,560.5333333333333
34266,0.0
43740,719.62
2387,0.0
64369,675.0066666666668
45812,72.8
46252,0.0
67195,27.32
24279,0.0
20846,0.0
67542,0.0
11776,0.0
47038,0.0
29223,34.23333333333333
51343,11.12
52226,426.32857142857137
16521,868.36
39971,0.0
17653,152.71333333333334
34966,1183.7133333333334
65347,0.0
52120,236.74
67443,0.0
64787,582.72
11886,0.0
35822,0.0
36876,508.4
31354,0.726666666666667
42509,0.0
14527,1197.1933333333332
18451,68.69333333333331
44936,0.0
40205,0.0
46077,53.453333333333326
66175,52.81428571428572
25881,0.0
8654,0.0
3740,0.0
33244,80.64285714285715
57709,42.04
39895,0.0
19457,492.9933333333333
38252,0.0
14311,671.6066666666667
13807,0.0
22278,0.0
67398,0.0
17649,192.89333333333332
9903,20.12
16361,1221.2266666666667
1585,24.42
21169,410.8866666666668
51525,353.29999999999995
9783,362.5
39711,118.53333333333336
42605,0.0
47759,0.0
34476,25.921428571428574
44640,0.0
5325,990.5333333333332
60320,802.8
64609,830.3533333333332
51373,27.30666666666667
39335,984.5866666666668
7635,884.2214285714285
7269,550.04
52053,144.20000000000002
51217,0.0
52534,0.0
46119,2.4933333333333327
58538,702.5
33797,0.0
49231,13.466666666666669
59794,12.713333333333331
10501,0.0
52691,0.0
50779,0.0
60592,307.2266666666667
65498,0.0
19919,981.02
53842,518.8133333333333
36108,0.0
43828,521.68
44575,0.0
9877,83.89285714285715
11030,0.0
58048,644.68
53917,667.0733333333334
3087,0.0
19160,0.0
61845,0.0
50180,325.2600000000001
38841,397.83333333333326
1674,0.0
44506,0.0
1114,1238.2666666666669
16182,0.0
51046,0.0
25991,0.0
44597,0.0
50497,0.0
50711,0.0
15497,0.0
50719,0.0
29963,0.0
60177,0.0
54958,0.0
59361,0.0
31082,475.01333333333326
35163,760.92
40956,339.98
48092,334.5933333333333
20700,0.0
51469,174.52666666666667
10526,0.0
3531,250.0266666666667
61325,0.0
12790,1234.7666666666669
57807,322.7266666666667
56115,496.15333333333336
20150,24.42
26638,1095.1333333333332
47865,962.5133333333334
61888,0.0
22805,82.25714285714285
31837,0.0
40479,0.0
53125,0.0
16334,0.0
15436,0.0
23404,929.2266666666667
24463,0.0
48130,255.02857142857144
32005,0.0
55146,0.0
52379,13.714285714285715
62201,0.0
32453,105.17857142857142
15522,0.0
67541,0.0
19775,1204.24
4352,0.0
46407,0.0
46126,2.6071428571428568
3330,758.7999999999998
57624,0.0
8956,8.007142857142856
5739,159.42666666666665
53377,0.0
6364,0.0
5648,618.3571428571429
17298,0.0
54376,174.59285714285718
22675,0.0
66795,678.9266666666665
4312,0.0
35057,851.5
45951,153.13333333333335
16179,0.0
61383,0.0
23296,1203.6285714285716
28857,781.6866666666666
30861,135.42000000000002
29952,0.0
23819,0.0
42777,0.0
33693,0.0
34929,129.42857142857144
53173,0.0
58947,0.0
49632,0.0
39070,750.7000000000002
29062,566.7133333333334
4189,0.0
19842,1139.3733333333334
40363,0.0
749,683.5933333333334
40315,0.0
30331,109.5
24802,0.0
45534,0.0
26671,160.08000000000004
28082,0.0
65428,0.0
20187,1.04
64614,798.08
65710,0.0
14361,0.0
18397,235.99333333333328
31126,280.94666666666666
11355,341.76666666666665
25907,0.0
63025,6.72
26084,0.0
19419,345.3666666666666
31548,0.0
32693,999.12
14109,0.0
58991,0.0
43366,1105.1285714285716
11616,0.0
24134,0.0
18599,0.0
10804,232.6266666666667
29777,0.0
18783,0.0
4819,65.66000000000001
51726,1063.1533333333334
55659,124.94
46172,0.0
16572,658.5
4276,0.0
46622,0.0
61,0.0
2398,0.0
60236,1051.2600000000002
10321,0.0
27275,0.0
29770,0.0
18956,0.0
39185,1162.7066666666667
8806,0.0
22469,0.0
7812,248.99333333333328
60354,1246.6
1384,658.1933333333334
16795,0.0
40401,0.0
17009,0.0
28603,0.0
37813,0.0
30061,0.0
3021,306.53333333333336
29595,0.0
36815,483.71333333333337
56015,570.5928571428569
4130,0.0
46403,0.0
41765,285.1066666666667
36457,0.0
3590,134.14
43843,522.6200000000001
59746,0.0
49369,489.9642857142858
5425,1076.9533333333334
7623,751.28
16439,68.38
29667,0.0
30922,1229.6
38912,522.3066666666667
12907,0.0
62679,545.6066666666666
33118,57.493333333333325
65080,22.473333333333333
26262,99.76
59703,0.0
48907,0.0
38324,0.0
8089,0.0
37488,240.4333333333333
62650,657.3533333333334
29526,0.0
59880,226.96000000000004
43640,0.0
32856,486.48
50854,0.0
29534,0.0
49648,953.0142857142856
3852,0.0
33542,0.0
3538,317.34666666666664
3179,631.6266666666668
46326,0.0
61526,0.0
26206,0.0
3613,47.42857142857143
28807,1081.0466666666666
39054,731.1466666666665
63678,0.0
53879,566.6466666666666
3142,1201.8733333333332
37320,806.4933333333332
55870,603.1142857142858
32943,1151.4466666666667
53565,154.32857142857142
12900,1275.14
23641,54.806666666666665
7842,194.22857142857143
55931,224.89333333333332
47344,663.7066666666667
31243,96.4
55203,0.0
33555,0.0
18435,123.51333333333334
9879,37.74666666666668
23803,0.0
2710,164.99333333333334
60225,0.0
67578,0.0
64383,768.9599999999998
51596,484.45333333333326
38738,97.07333333333337
45894,228.90714285714287
31767,0.0
26267,122.03333333333332
41210,1193.9666666666665
31574,0.0
34236,0.0
43497,0.0
38817,346.7333333333333
66334,210.14
6975,28.933333333333337
40775,3.6133333333333337
47459,856.1357142857144
67575,0.0
16625,403.13333333333327
57662,0.0
61517,0.0
3262,783.94
18069,1231.7666666666669
47201,232.74
6681,0.0
38046,0.0
20669,0.0
58651,480.1066666666666
25224,562.1999999999999
30786,1308.8666666666668
49715,0.0
40457,0.0
8700,0.0
57271,0.0
29958,0.0
58396,0.0
9529,0.0
52455,0.0
47242,375.88
26208,0.0
43377,0.0
40455,0.0
35601,0.0
15250,0.0
2672,86.97999999999999
30283,57.8
50330,22.48
65678,0.0
42709,0.0
30617,618.3
31000,721.14
62405,108.59333333333336
5946,0.0
16599,577.5133333333333
3068,1199.94
63465,0.0
40652,0.0
7864,126.53333333333332
58899,0.0
66810,59.70000000000002
59201,0.0
43456,1270.9133333333334
3490,452.45333333333326
4266,0.0
14184,166.8642857142857
56382,615.6000000000003
12886,1276.0
67049,217.92666666666665
65313,0.0
20450,0.0
31708,0.0
41462,300.6
37214,637.02
3698,0.0
49805,781.9466666666667
44580,0.0
39767,21.328571428571436
32701,510.2466666666666
28583,69.79999999999998
42000,0.0
29964,0.0
37727,0.0
61677,0.0
7838,189.33333333333331
63506,0.0
50687,0.0
46762,0.0
534,14.673333333333336
15410,0.0
13503,0.0
49920,807.1733333333333
29171,210.81428571428572
30748,920.0666666666668
23088,1153.2666666666669
40666,0.0
59262,0.0
30240,0.0
45607,0.0
58894,0.0
17075,0.0
28765,1124.178571428571
34910,616.9466666666667
28764,1175.1933333333332
46676,0.0
15619,0.0
5090,940.2928571428572
6775,0.0
35349,334.44666666666666
57476,0.0
16081,784.5000000000001
5600,408.72666666666663
7869,128.12666666666664
152,0.0
20210,0.0
59225,0.0
36528,0.0
8886,0.0
3401,665.1733333333332
51002,0.0
17777,716.1733333333333
65041,75.14666666666666
13800,0.0
37584,123.46000000000002
55142,0.0
25984,0.0
13594,0.0
42622,0.0
37025,332.09333333333325
7633,886.3142857142858
29585,0.0
41287,105.40666666666668
38319,0.0
39776,20.00714285714286
39599,368.63333333333327
34376,0.0
27791,0.0
31744,0.0
61389,0.0
27811,0.0
47892,1078.493333333333
1205,1083.6
848,973.5428571428571
24248,0.0
46949,0.0
20705,0.0
64683,515.6
32128,0.0
23909,0.0
59778,13.026666666666667
31995,0.0
29682,0.0
63888,0.0
10407,0.0
1444,379.6571428571429
19389,194.0133333333333
24089,0.0
39768,21.22
28905,1041.8266666666666
32768,770.14
42789,0.0
42786,0.0
48442,0.0
57993,644.4266666666667
19882,1111.1866666666667
40682,0.0
65686,0.0
16377,1199.8571428571431
45810,0.0
44627,0.0
50892,0.0
20053,604.3571428571429
16112,978.54
39536,390.52
64296,443.31428571428575
37636,38.08666666666667
7101,560.6466666666668
7439,0.0
54900,0.0
56325,504.0571428571428
50370,0.0
14797,826.06
43973,55.33333333333333
4346,0.0
12398,11.733333333333333
12058,0.0
32332,0.0
51536,487.42666666666656
14329,752.34
44642,0.0
11178,1021.5133333333332
42398,0.0
64783,478.92666666666673
53170,0.0
47345,656.48
17199,0.0
9394,0.0
11674,0.0
48055,392.4666666666667
60506,582.14
17579,12.2
16417,0.0
57915,568.2399999999999
50500,0.0
43371,0.0
49408,450.0266666666666
31352,25.68
32006,0.0
22121,0.0
22612,0.0
33371,34.21333333333333
8810,0.0
10982,0.0
28838,1138.3133333333335
44220,0.0
40485,0.0
22,0.0
64862,481.1
64120,196.72666666666663
60300,0.0
16953,0.0
17415,0.0
11760,0.0
49559,0.0
4776,35.586666666666666
445,0.0
52389,6.306666666666666
2247,0.0
57334,0.0
555,25.32857142857143
8602,0.0
59003,0.0
27064,156.28666666666666
39072,614.3933333333334
11340,344.54666666666674
40484,0.0
19144,0.0
33340,72.47857142857144
35260,906.08
54146,532.9733333333335
19381,157.94
61164,0.0
11711,0.0
35539,76.67333333333332
22281,0.0
43224,0.0
64580,743.68
15577,0.0
33073,78.62857142857142
18558,0.0
23378,1009.4066666666668
29469,0.0
4378,0.0
59403,0.0
9134,460.9928571428572
21653,1026.3
8639,0.0
50256,120.22
43974,55.78
66698,723.3800000000001
50033,619.9999999999999
57710,71.86428571428573
16311,1250.5499999999995
56975,0.0
51967,0.0
15186,0.0
46562,0.0
56866,0.0
13877,0.0
40626,0.0
13973,0.0
27010,411.94666666666666
12890,1282.1733333333334
14757,0.0
40197,0.0
64287,527.3866666666667
1804,0.0
14986,48.38666666666667
2996,1116.4571428571428
34170,0.0
4950,660.8066666666666
40201,0.0
25527,0.0
38959,696.4266666666665
63198,0.0
15567,0.0
20526,0.0
40839,114.93333333333334
52984,0.0
46066,90.13999999999999
38159,0.0
63204,0.0
60476,0.0
49297,132.69333333333333
34748,549.5357142857142
1246,1143.2733333333335
982,1230.44
32,0.0
65753,0.0
20997,0.0
32353,0.0
37257,534.6333333333333
63677,0.0
4060,0.0
53534,87.04666666666668
20772,0.0
10528,0.0
32354,0.0
36639,100.6
35188,0.0
54761,0.0
